edu,geo,time,value
ED3-4,BE2,2019,3.3
ED3-4,BE2,2020,3.6
ED5-8,BE2,2018,2.5
ED5-8,BE2,2019,2.1
ED5-8,BE2,2020,2.6
TOTAL,BE2,2018,3.4
TOTAL,BE2,2019,3.2
TOTAL,BE2,2020,3.5
ED0-2,BE21,2018,8.9
ED0-2,BE21,2019,6.4
ED0-2,BE21,2020,6.6
ED3-4,BE21,2018,4.4
ED3-4,BE21,2019,3.8
ED3-4,BE21,2020,3.8
ED5-8,BE21,2018,2.7
ED5-8,BE21,2019,2.3
ED5-8,BE21,2020,3.3
TOTAL,BE21,2018,4.3
TOTAL,BE21,2019,3.6
TOTAL,BE21,2020,4.0
ED0-2,BE22,2018,7.7
ED0-2,BE22,2019,6.4
ED0-2,BE22,2020,6.4
ED3-4,BE22,2018,4.1
ED3-4,BE22,2019,4.0
ED3-4,BE22,2020,4.2
ED5-8,BE22,2018,2.0
ED5-8,BE22,2019,2.2
ED5-8,BE22,2020,2.1
TOTAL,BE22,2018,3.8
TOTAL,BE22,2019,3.6
TOTAL,BE22,2020,3.6
ED0-2,BE23,2018,5.7
ED0-2,BE23,2019,5.9
ED0-2,BE23,2020,5.9
ED3-4,BE23,2018,2.2
ED3-4,BE23,2019,2.9
ED3-4,BE23,2020,2.6
ED5-8,BE23,2018,2.2
ED5-8,BE23,2019,1.9
ED5-8,BE23,2020,2.0
TOTAL,BE23,2018,2.7
TOTAL,BE23,2019,2.9
TOTAL,BE23,2020,2.7
ED0-2,BE24,2018,5.2
ED0-2,BE24,2019,8.5
ED0-2,BE24,2020,6.1
ED3-4,BE24,2018,3.7
ED3-4,BE24,2019,3.6
ED3-4,BE24,2020,4.4
ED5-8,BE24,2018,3.2
ED5-8,BE24,2019,2.6
ED5-8,BE24,2020,3.1
TOTAL,BE24,2018,3.6
TOTAL,BE24,2019,3.6
TOTAL,BE24,2020,3.8
ED0-2,BE25,2018,5.4
ED0-2,BE25,2019,5.1
ED0-2,BE25,2020,5.6
ED3-4,BE25,2018,2.1
ED3-4,BE25,2019,2.6
ED3-4,BE25,2020,3.5
ED5-8,BE25,2018,1.9
ED5-8,BE25,2019,1.6
ED5-8,BE25,2020,2.3
TOTAL,BE25,2018,2.6
TOTAL,BE25,2019,2.5
TOTAL,BE25,2020,3.3
ED0-2,BE3,2018,18.1
ED0-2,BE3,2019,16.1
ED0-2,BE3,2020,16.2
ED3-4,BE3,2018,9.1
ED3-4,BE3,2019,7.6
ED3-4,BE3,2020,8.2
ED5-8,BE3,2018,4.0
ED5-8,BE3,2019,3.4
ED5-8,BE3,2020,3.7
TOTAL,BE3,2018,8.4
TOTAL,BE3,2019,7.1
TOTAL,BE3,2020,7.3
ED0-2,BE31,2018,15.9
ED0-2,BE31,2019,18.5
ED0-2,BE31,2020,14.0
ED3-4,BE31,2018,6.9
ED3-4,BE31,2019,5.5
ED3-4,BE31,2020,6.8
ED5-8,BE31,2018,5.3
ED5-8,BE31,2019,3.3
ED5-8,BE31,2020,4.9
TOTAL,BE31,2018,6.9
TOTAL,BE31,2019,5.5
TOTAL,BE31,2020,6.2
ED0-2,BE32,2018,22.0
ED0-2,BE32,2019,18.5
ED0-2,BE32,2020,17.6
ED3-4,BE32,2018,10.5
ED3-4,BE32,2019,9.4
ED3-4,BE32,2020,9.5
ED5-8,BE32,2018,3.5
ED5-8,BE32,2019,3.1
ED5-8,BE32,2020,3.2
TOTAL,BE32,2018,9.9
TOTAL,BE32,2019,8.6
TOTAL,BE32,2020,8.3
ED0-2,BE33,2018,17.4
ED0-2,BE33,2019,14.3
ED0-2,BE33,2020,17.1
ED3-4,BE33,2018,8.2
ED3-4,BE33,2019,6.6
ED3-4,BE33,2020,8.4
ED5-8,BE33,2018,3.6
ED5-8,BE33,2019,3.7
ED5-8,BE33,2020,4.0
TOTAL,BE33,2018,8.2
TOTAL,BE33,2019,6.7
TOTAL,BE33,2020,7.8
ED0-2,BE34,2019,11.7
ED0-2,BE34,2020,11.2
ED3-4,BE34,2018,6.6
ED3-4,BE34,2019,6.1
ED3-4,BE34,2020,5.2
TOTAL,BE34,2018,5.4
TOTAL,BE34,2019,5.4
TOTAL,BE34,2020,5.1
ED0-2,BE35,2018,14.5
ED0-2,BE35,2019,14.9
ED0-2,BE35,2020,14.1
ED3-4,BE35,2018,9.7
ED3-4,BE35,2019,7.1
ED3-4,BE35,2020,7.1
ED5-8,BE35,2018,5.2
ED5-8,BE35,2019,3.8
ED5-8,BE35,2020,3.0
TOTAL,BE35,2018,8.5
TOTAL,BE35,2019,7.0
TOTAL,BE35,2020,6.1
ED0-2,BG,2018,15.5
ED0-2,BG,2019,13.1
ED0-2,BG,2020,13.9
ED3-4,BG,2018,4.5
ED3-4,BG,2019,3.4
ED3-4,BG,2020,4.7
ED5-8,BG,2018,2.3
ED5-8,BG,2019,1.9
ED5-8,BG,2020,2.5
TOTAL,BG,2018,5.2
TOTAL,BG,2019,4.2
TOTAL,BG,2020,5.1
ED0-2,BG3,2018,20.3
ED0-2,BG3,2019,17.6
ED0-2,BG3,2020,18.3
ED3-4,BG3,2018,6.0
ED3-4,BG3,2019,4.4
ED3-4,BG3,2020,5.6
ED5-8,BG3,2018,2.9
ED5-8,BG3,2019,2.7
ED5-8,BG3,2020,3.4
TOTAL,BG3,2018,7.4
TOTAL,BG3,2019,6.1
TOTAL,BG3,2020,6.9
ED0-2,BG31,2018,35.4
ED0-2,BG31,2019,37.7
ED0-2,BG31,2020,43.9
ED3-4,BG31,2018,9.6
ED3-4,BG31,2019,7.7
ED3-4,BG31,2020,10.0
TOTAL,BG31,2018,11.2
TOTAL,BG31,2019,10.8
TOTAL,BG31,2020,13.0
ED0-2,BG32,2018,20.4
ED0-2,BG32,2019,19.4
ED0-2,BG32,2020,19.2
ED3-4,BG32,2018,5.6
ED3-4,BG32,2019,3.8
ED3-4,BG32,2020,5.0
ED5-8,BG32,2018,3.2
TOTAL,BG32,2018,6.7
TOTAL,BG32,2019,5.1
TOTAL,BG32,2020,5.7
ED0-2,BG33,2018,19.7
ED0-2,BG33,2019,15.5
ED0-2,BG33,2020,14.7
ED3-4,BG33,2018,5.3
ED3-4,BG33,2019,3.8
ED3-4,BG33,2020,4.3
ED5-8,BG33,2018,2.9
ED5-8,BG33,2019,3.5
ED5-8,BG33,2020,4.7
TOTAL,BG33,2018,7.4
TOTAL,BG33,2019,5.9
TOTAL,BG33,2020,6.1
ED0-2,BG34,2018,13.8
ED0-2,BG34,2019,9.4
ED0-2,BG34,2020,8.1
ED3-4,BG34,2018,4.3
ED3-4,BG34,2019,3.0
ED3-4,BG34,2020,4.2
ED5-8,BG34,2018,2.4
TOTAL,BG34,2018,5.4
TOTAL,BG34,2019,4.0
TOTAL,BG34,2020,4.6
ED0-2,BG4,2018,8.7
ED0-2,BG4,2019,6.9
ED0-2,BG4,2020,8.1
ED3-4,BG4,2018,3.1
ED3-4,BG4,2019,2.4
ED3-4,BG4,2020,3.8
ED5-8,BG4,2018,1.9
ED5-8,BG4,2019,1.4
ED5-8,BG4,2020,1.8
TOTAL,BG4,2018,3.2
TOTAL,BG4,2019,2.5
TOTAL,BG4,2020,3.5
ED0-2,BG41,2018,10.2
ED0-2,BG41,2019,8.7
ED0-2,BG41,2020,12.4
ED3-4,BG41,2018,2.6
ED3-4,BG41,2019,2.1
ED3-4,BG41,2020,4.2
ED5-8,BG41,2018,1.5
ED5-8,BG41,2019,1.3
ED5-8,BG41,2020,1.6
TOTAL,BG41,2018,2.6
TOTAL,BG41,2019,2.3
TOTAL,BG41,2020,3.6
ED0-2,BG42,2018,7.7
ED0-2,BG42,2019,5.6
ED0-2,BG42,2020,5.3
ED3-4,BG42,2018,3.8
ED3-4,BG42,2019,2.9
