edu,geo,time,value
TOTAL,DE40,2019,3.4
TOTAL,DE40,2020,3.9
ED0-2,DE5,2019,10.5
ED3-4,DE5,2018,3.5
ED3-4,DE5,2019,3.8
TOTAL,DE5,2018,4.3
TOTAL,DE5,2019,5.1
ED0-2,DE50,2019,10.5
ED3-4,DE50,2018,3.5
ED3-4,DE50,2019,3.8
TOTAL,DE50,2018,4.3
TOTAL,DE50,2019,5.1
ED0-2,DE6,2018,10.6
ED0-2,DE6,2019,10.1
ED3-4,DE6,2018,3.3
ED3-4,DE6,2019,2.9
ED5-8,DE6,2018,2.7
ED5-8,DE6,2019,2.0
TOTAL,DE6,2018,4.1
TOTAL,DE6,2019,3.6
TOTAL,DE6,2020,4.7
ED0-2,DE60,2018,10.6
ED0-2,DE60,2019,10.1
ED3-4,DE60,2018,3.3
ED3-4,DE60,2019,2.9
ED5-8,DE60,2018,2.7
ED5-8,DE60,2019,2.0
TOTAL,DE60,2018,4.1
TOTAL,DE60,2019,3.6
TOTAL,DE60,2020,4.7
ED0-2,DE7,2018,7.9
ED0-2,DE7,2019,7.5
ED0-2,DE7,2020,8.7
ED3-4,DE7,2018,2.5
ED3-4,DE7,2019,2.5
ED3-4,DE7,2020,3.3
ED5-8,DE7,2018,1.9
ED5-8,DE7,2019,1.8
ED5-8,DE7,2020,2.5
TOTAL,DE7,2018,3.1
TOTAL,DE7,2019,3.0
TOTAL,DE7,2020,3.9
ED0-2,DE71,2018,8.2
ED0-2,DE71,2019,7.5
ED0-2,DE71,2020,8.6
ED3-4,DE71,2018,2.5
ED3-4,DE71,2019,2.6
ED3-4,DE71,2020,3.3
ED5-8,DE71,2018,1.7
ED5-8,DE71,2019,1.8
TOTAL,DE71,2018,3.1
TOTAL,DE71,2019,3.1
TOTAL,DE71,2020,4.0
ED0-2,DE72,2018,8.1
ED0-2,DE72,2019,7.8
ED3-4,DE72,2018,3.1
ED3-4,DE72,2019,2.6
TOTAL,DE72,2018,3.6
TOTAL,DE72,2019,3.3
TOTAL,DE72,2020,5.1
ED0-2,DE73,2018,6.8
ED0-2,DE73,2019,7.1
ED3-4,DE73,2018,2.3
ED3-4,DE73,2019,2.2
TOTAL,DE73,2018,2.9
TOTAL,DE73,2019,2.8
ED0-2,DE8,2018,15.2
ED0-2,DE8,2019,10.9
ED3-4,DE8,2018,4.7
ED3-4,DE8,2019,4.1
TOTAL,DE8,2018,4.8
TOTAL,DE8,2019,4.0
TOTAL,DE8,2020,4.6
ED0-2,DE80,2018,15.2
ED0-2,DE80,2019,10.9
ED3-4,DE80,2018,4.7
ED3-4,DE80,2019,4.1
TOTAL,DE80,2018,4.8
TOTAL,DE80,2019,4.0
TOTAL,DE80,2020,4.6
ED0-2,DE9,2018,8.8
ED0-2,DE9,2019,8.8
ED0-2,DE9,2020,8.0
ED3-4,DE9,2018,2.6
ED3-4,DE9,2019,2.4
ED3-4,DE9,2020,3.0
ED5-8,DE9,2018,1.7
ED5-8,DE9,2019,1.6
ED5-8,DE9,2020,2.7
TOTAL,DE9,2018,3.3
TOTAL,DE9,2019,3.1
TOTAL,DE9,2020,3.7
ED0-2,DE91,2018,12.2
ED0-2,DE91,2019,8.6
ED3-4,DE91,2018,3.1
ED3-4,DE91,2019,2.8
TOTAL,DE91,2018,4.0
TOTAL,DE91,2019,3.3
TOTAL,DE91,2020,4.4
ED0-2,DE92,2018,10.9
ED0-2,DE92,2019,11.1
ED3-4,DE92,2018,3.3
ED3-4,DE92,2019,2.4
ED5-8,DE92,2018,2.2
ED5-8,DE92,2019,2.0
TOTAL,DE92,2018,4.1
TOTAL,DE92,2019,3.5
TOTAL,DE92,2020,3.6
ED0-2,DE93,2018,7.5
ED0-2,DE93,2019,8.1
ED3-4,DE93,2018,1.8
ED3-4,DE93,2019,2.0
TOTAL,DE93,2018,2.4
TOTAL,DE93,2019,2.6
TOTAL,DE93,2020,3.7
ED0-2,DE94,2018,6.0
ED0-2,DE94,2019,7.5
ED3-4,DE94,2018,2.5
ED3-4,DE94,2019,2.4
TOTAL,DE94,2018,2.7
TOTAL,DE94,2019,2.9
TOTAL,DE94,2020,3.2
ED0-2,DEA,2018,9.9
ED0-2,DEA,2019,9.0
ED0-2,DEA,2020,10.7
ED3-4,DEA,2018,3.0
ED3-4,DEA,2019,2.9
ED3-4,DEA,2020,3.5
ED5-8,DEA,2018,1.9
ED5-8,DEA,2019,2.0
ED5-8,DEA,2020,2.7
TOTAL,DEA,2018,3.8
TOTAL,DEA,2019,3.6
TOTAL,DEA,2020,4.4
ED0-2,DEA1,2018,10.9
ED0-2,DEA1,2019,9.2
ED0-2,DEA1,2020,13.5
ED3-4,DEA1,2018,3.4
ED3-4,DEA1,2019,3.1
ED3-4,DEA1,2020,3.6
ED5-8,DEA1,2018,2.0
ED5-8,DEA1,2019,2.1
TOTAL,DEA1,2018,4.3
TOTAL,DEA1,2019,3.8
TOTAL,DEA1,2020,5.1
ED0-2,DEA2,2018,9.2
ED0-2,DEA2,2019,8.8
ED0-2,DEA2,2020,8.1
ED3-4,DEA2,2018,3.1
ED3-4,DEA2,2019,2.7
ED3-4,DEA2,2020,3.9
ED5-8,DEA2,2018,2.0
ED5-8,DEA2,2019,2.1
TOTAL,DEA2,2018,3.6
TOTAL,DEA2,2019,3.4
TOTAL,DEA2,2020,4.1
ED0-2,DEA3,2018,10.3
ED0-2,DEA3,2019,8.9
ED3-4,DEA3,2018,2.5
ED3-4,DEA3,2019,2.7
ED3-4,DEA3,2020,3.1
ED5-8,DEA3,2018,1.9
ED5-8,DEA3,2019,1.6
TOTAL,DEA3,2018,3.6
TOTAL,DEA3,2019,3.4
TOTAL,DEA3,2020,3.6
ED0-2,DEA4,2018,8.1
ED0-2,DEA4,2019,7.1
ED3-4,DEA4,2018,2.5
ED3-4,DEA4,2019,2.4
TOTAL,DEA4,2018,3.2
TOTAL,DEA4,2019,3.0
TOTAL,DEA4,2020,3.7
ED0-2,DEA5,2018,10.0
ED0-2,DEA5,2019,10.0
ED0-2,DEA5,2020,12.1
ED3-4,DEA5,2018,3.2
ED3-4,DEA5,2019,3.0
ED3-4,DEA5,2020,3.8
ED5-8,DEA5,2018,1.8
ED5-8,DEA5,2019,2.1
TOTAL,DEA5,2018,4.0
TOTAL,DEA5,2019,3.9
TOTAL,DEA5,2020,5.0
ED0-2,DEB,2018,8.0
ED0-2,DEB,2019,6.6
ED0-2,DEB,2020,8.1
ED3-4,DEB,2018,2.4
ED3-4,DEB,2019,2.2
ED3-4,DEB,2020,2.7
ED5-8,DEB,2018,1.7
ED5-8,DEB,2019,1.7
TOTAL,DEB,2018,3.1
TOTAL,DEB,2019,2.7
TOTAL,DEB,2020,3.5
ED0-2,DEB1,2018,7.4
ED0-2,DEB1,2019,5.6
ED3-4,DEB1,2018,2.1
ED3-4,DEB1,2019,1.7
TOTAL,DEB1,2018,2.7
TOTAL,DEB1,2019,2.2
TOTAL,DEB2,2018,2.5
TOTAL,DEB2,2019,2.0
ED0-2,DEB3,2018,8.8
ED0-2,DEB3,2019,7.6
ED3-4,DEB3,2018,2.7
ED3-4,DEB3,2019,2.8
ED5-8,DEB3,2018,1.9
ED5-8,DEB3,2019,1.8
TOTAL,DEB3,2018,3.5
TOTAL,DEB3,2019,3.3
TOTAL,DEB3,2020,3.9
ED0-2,DEC,2018,10.1
ED0-2,DEC,2019,10.4
ED3-4,DEC,2018,2.7
ED3-4,DEC,2019,2.9
TOTAL,DEC,2018,3.6
TOTAL,DEC,2019,3.7
ED0-2,DEC0,2018,10.1
ED0-2,DEC0,2019,10.4
ED3-4,DEC0,2018,2.7
ED3-4,DEC0,2019,2.9
TOTAL,DEC0,2018,3.6
TOTAL,DEC0,2019,3.7
ED0-2,DED,2018,14.6
ED0-2,DED,2019,14.4
ED3-4,DED,2018,4.0
ED3-4,DED,2019,3.8
ED3-4,DED,2020,3.7
ED5-8,DED,2018,1.9
ED5-8,DED,2019,1.7
TOTAL,DED,2018,4.0
TOTAL,DED,2019,3.9
TOTAL,DED,2020,3.7
ED0-2,DED2,2018,14.7
ED0-2,DED2,2019,12.2
ED3-4,DED2,2018,4.2
ED3-4,DED2,2019,3.6
TOTAL,DED2,2018,4.0
TOTAL,DED2,2019,3.5
TOTAL,DED2,2020,3.4
ED0-2,DED4,2019,13.8
ED3-4,DED4,2018,3.4
ED3-4,DED4,2019,3.6
TOTAL,DED4,2018,3.4
TOTAL,DED4,2019,3.7
ED0-2,DED5,2018,16.5
ED0-2,DED5,2019,17.7
ED3-4,DED5,2018,4.7
ED3-4,DED5,2019,4.4
TOTAL,DED5,2018,4.7
TOTAL,DED5,2019,4.7
TOTAL,DED5,2020,5.2
ED0-2,DEE,2018,17.1
ED0-2,DEE,2019,11.8
ED3-4,DEE,2018,4.9
ED3-4,DEE,2019,4.4
ED3-4,DEE,2020,4.9
ED5-8,DEE,2018,2.2
ED5-8,DEE,2019,2.1
TOTAL,DEE,2018,5.3
TOTAL,DEE,2019,4.6
TOTAL,DEE,2020,4.8
ED0-2,DEE0,2018,17.1
ED0-2,DEE0,2019,11.8
ED3-4,DEE0,2018,4.9
ED3-4,DEE0,2019,4.4
ED3-4,DEE0,2020,4.9
ED5-8,DEE0,2018,2.2
ED5-8,DEE0,2019,2.1
TOTAL,DEE0,2018,5.3
TOTAL,DEE0,2019,4.6
TOTAL,DEE0,2020,4.8
ED0-2,DEF,2018,8.5
ED0-2,DEF,2019,7.2
ED3-4,DEF,2018,2.3
ED3-4,DEF,2019,2.4
ED5-8,DEF,2018,2.0
ED5-8,DEF,2019,1.5
TOTAL,DEF,2018,3.1
TOTAL,DEF,2019,2.9
TOTAL,DEF,2020,3.4
ED0-2,DEF0,2018,8.5
ED0-2,DEF0,2019,7.2
ED3-4,DEF0,2018,2.3
ED3-4,DEF0,2019,2.4
ED5-8,DEF0,2018,2.0
ED5-8,DEF0,2019,1.5
TOTAL,DEF0,2018,3.1
TOTAL,DEF0,2019,2.9
TOTAL,DEF0,2020,3.4
ED0-2,DEG,2018,12.8
ED0-2,DEG,2019,13.0
ED3-4,DEG,2018,4.3
ED3-4,DEG,2019,3.6
ED3-4,DEG,2020,4.0
ED5-8,DEG,2018,1.9
ED5-8,DEG,2019,1.9
TOTAL,DEG,2018,4.1
TOTAL,DEG,2019,3.7
TOTAL,DEG,2020,4.2
ED0-2,DEG0,2018,12.8
ED0-2,DEG0,2019,13.0
ED3-4,DEG0,2018,4.3
ED3-4,DEG0,2019,3.6
ED3-4,DEG0,2020,4.0
ED5-8,DEG0,2018,1.9
ED5-8,DEG0,2019,1.9
TOTAL,DEG0,2018,4.1
TOTAL,DEG0,2019,3.7
TOTAL,DEG0,2020,4.2
ED0-2,DK,2018,8.6
ED0-2,DK,2019,8.4
ED0-2,DK,2020,9.4
ED3-4,DK,2018,4.1
ED3-4,DK,2019,4.1
ED3-4,DK,2020,4.8
ED5-8,DK,2018,4.2
ED5-8,DK,2019,4.1
ED5-8,DK,2020,4.7
TOTAL,DK,2018,5.1
TOTAL,DK,2019,5.0
TOTAL,DK,2020,5.6
ED0-2,DK0,2018,8.6
ED0-2,DK0,2019,8.4
ED0-2,DK0,2020,9.4
ED3-4,DK0,2018,4.1
ED3-4,DK0,2019,4.1
ED3-4,DK0,2020,4.8
ED5-8,DK0,2018,4.2
ED5-8,DK0,2019,4.1
ED5-8,DK0,2020,4.7
TOTAL,DK0,2018,5.1
TOTAL,DK0,2019,5.0
TOTAL,DK0,2020,5.6
ED0-2,DK01,2018,9.5
ED0-2,DK01,2019,9.4
ED0-2,DK01,2020,11.2
ED3-4,DK01,2018,4.5
ED3-4,DK01,2019,4.5
ED3-4,DK01,2020,5.8
ED5-8,DK01,2018,4.5
ED5-8,DK01,2019,3.9
ED5-8,DK01,2020,4.9
TOTAL,DK01,2018,5.4
TOTAL,DK01,2019,5.1
TOTAL,DK01,2020,6.1
ED0-2,DK02,2018,9.1
ED0-2,DK02,2019,8.4
ED0-2,DK02,2020,10.0
ED3-4,DK02,2018,3.9
ED3-4,DK02,2019,3.7
ED3-4,DK02,2020,4.7
ED5-8,DK02,2018,3.6
ED5-8,DK02,2019,4.3
ED5-8,DK02,2020,2.7
TOTAL,DK02,2018,5.2
TOTAL,DK02,2019,4.9
TOTAL,DK02,2020,5.3
ED0-2,DK03,2018,8.7
ED0-2,DK03,2019,8.1
ED0-2,DK03,2020,8.3
ED3-4,DK03,2018,3.7
ED3-4,DK03,2019,3.9
ED3-4,DK03,2020,4.4
ED5-8,DK03,2018,4.0
ED5-8,DK03,2019,3.6
ED5-8,DK03,2020,3.8
TOTAL,DK03,2018,4.9
TOTAL,DK03,2019,4.8
TOTAL,DK03,2020,5.1
ED0-2,DK04,2018,7.4
ED0-2,DK04,2019,7.7
ED0-2,DK04,2020,8.1
ED3-4,DK04,2018,3.9
ED3-4,DK04,2019,3.7
ED3-4,DK04,2020,4.1
ED5-8,DK04,2018,3.9
ED5-8,DK04,2019,4.4
ED5-8,DK04,2020,5.7
TOTAL,DK04,2018,4.7
TOTAL,DK04,2019,4.9
TOTAL,DK04,2020,5.5
ED0-2,DK05,2018,8.1
ED0-2,DK05,2019,8.2
ED0-2,DK05,2020,9.1
ED3-4,DK05,2018,4.4
ED3-4,DK05,2019,4.8
ED3-4,DK05,2020,4.5
ED5-8,DK05,2018,4.3
ED5-8,DK05,2019,5.0
ED5-8,DK05,2020,5.4
TOTAL,DK05,2018,5.5
TOTAL,DK05,2019,5.8
TOTAL,DK05,2020,5.8
ED0-2,EA19,2018,14.8
ED0-2,EA19,2019,13.7
ED0-2,EA19,2020,13.8
ED3-4,EA19,2018,7.3
ED3-4,EA19,2019,6.8
ED3-4,EA19,2020,7.2
ED5-8,EA19,2018,5.0
ED5-8,EA19,2019,4.7
ED5-8,EA19,2020,5.3
TOTAL,EA19,2018,8.2
TOTAL,EA19,2019,7.5
TOTAL,EA19,2020,7.8
ED0-2,EE,2018,10.3
ED0-2,EE,2019,9.8
ED0-2,EE,2020,13.4
ED3-4,EE,2018,5.8
ED3-4,EE,2019,4.8
ED3-4,EE,2020,7.4
ED5-8,EE,2018,3.6
ED5-8,EE,2019,2.9
ED5-8,EE,2020,4.8
TOTAL,EE,2018,5.4
TOTAL,EE,2019,4.4
TOTAL,EE,2020,6.8
ED0-2,EE0,2018,10.3
ED0-2,EE0,2019,9.8
ED0-2,EE0,2020,13.4
ED3-4,EE0,2018,5.8
ED3-4,EE0,2019,4.8
ED3-4,EE0,2020,7.4
ED5-8,EE0,2018,3.6
ED5-8,EE0,2019,2.9
ED5-8,EE0,2020,4.8
TOTAL,EE0,2018,5.4
TOTAL,EE0,2019,4.4
TOTAL,EE0,2020,6.8
ED0-2,EE00,2018,10.3
ED0-2,EE00,2019,9.8
ED0-2,EE00,2020,13.4
ED3-4,EE00,2018,5.8
ED3-4,EE00,2019,4.8
ED3-4,EE00,2020,7.4
ED5-8,EE00,2018,3.6
ED5-8,EE00,2019,2.9
ED5-8,EE00,2020,4.8
TOTAL,EE00,2018,5.4
TOTAL,EE00,2019,4.4
TOTAL,EE00,2020,6.8
ED0-2,EL,2018,22.2
ED0-2,EL,2019,20.9
ED0-2,EL,2020,19.0
ED3-4,EL,2018,21.8
ED3-4,EL,2019,19.7
ED3-4,EL,2020,18.5
ED5-8,EL,2018,14.2
ED5-8,EL,2019,12.2
ED5-8,EL,2020,12.1
TOTAL,EL,2018,19.3
TOTAL,EL,2019,17.3
TOTAL,EL,2020,16.3
ED0-2,EL3,2018,33.6
ED0-2,EL3,2019,30.7
ED0-2,EL3,2020,23.2
ED3-4,EL3,2018,22.8
ED3-4,EL3,2019,19.8
ED3-4,EL3,2020,16.3
ED5-8,EL3,2018,12.8
ED5-8,EL3,2019,10.2
ED5-8,EL3,2020,9.6
TOTAL,EL3,2018,19.9
TOTAL,EL3,2019,16.9
TOTAL,EL3,2020,14.0
ED0-2,EL30,2018,33.6
ED0-2,EL30,2019,30.7
ED0-2,EL30,2020,23.2
ED3-4,EL30,2018,22.8
ED3-4,EL30,2019,19.8
ED3-4,EL30,2020,16.3
ED5-8,EL30,2018,12.8
ED5-8,EL30,2019,10.2
ED5-8,EL30,2020,9.6
TOTAL,EL30,2018,19.9
TOTAL,EL30,2019,16.9
TOTAL,EL30,2020,14.0
ED0-2,EL4,2018,16.3
ED0-2,EL4,2019,12.8
ED0-2,EL4,2020,18.0
ED3-4,EL4,2018,17.6
ED3-4,EL4,2019,15.0
ED3-4,EL4,2020,18.4
ED5-8,EL4,2018,12.4
ED5-8,EL4,2019,10.5
ED5-8,EL4,2020,13.6
TOTAL,EL4,2018,15.9
TOTAL,EL4,2019,13.3
TOTAL,EL4,2020,17.0
ED0-2,EL41,2018,25.4
ED0-2,EL41,2019,18.8
ED0-2,EL41,2020,17.5
ED3-4,EL41,2018,21.5
ED3-4,EL41,2019,19.3
ED3-4,EL41,2020,17.8
ED5-8,EL41,2018,20.5
ED5-8,EL41,2019,13.9
ED5-8,EL41,2020,13.7
TOTAL,EL41,2018,22.3
TOTAL,EL41,2019,17.6
TOTAL,EL41,2020,16.5
ED0-2,EL42,2018,20.9
ED0-2,EL42,2019,14.6
ED0-2,EL42,2020,21.9
ED3-4,EL42,2018,18.1
ED3-4,EL42,2019,13.9
ED3-4,EL42,2020,15.1
ED5-8,EL42,2018,8.8
ED5-8,EL42,2019,12.2
ED5-8,EL42,2020,14.8
TOTAL,EL42,2018,16.9
TOTAL,EL42,2019,13.7
TOTAL,EL42,2020,16.7
ED0-2,EL43,2018,11.5
ED0-2,EL43,2019,10.4
ED0-2,EL43,2020,16.0
ED3-4,EL43,2018,16.0
ED3-4,EL43,2019,14.2
ED3-4,EL43,2020,20.4
ED5-8,EL43,2018,11.4
ED5-8,EL43,2019,8.5
ED5-8,EL43,2020,13.1
TOTAL,EL43,2018,13.4
TOTAL,EL43,2019,11.7
TOTAL,EL43,2020,17.3
ED0-2,EL5,2018,21.6
ED0-2,EL5,2019,21.2
ED0-2,EL5,2020,19.5
ED3-4,EL5,2018,23.0
ED3-4,EL5,2019,21.1
ED3-4,EL5,2020,21.1
ED5-8,EL5,2018,15.9
ED5-8,EL5,2019,14.7
ED5-8,EL5,2020,13.5
TOTAL,EL5,2018,20.3
TOTAL,EL5,2019,19.1
TOTAL,EL5,2020,18.2
ED0-2,EL51,2018,14.0
ED0-2,EL51,2019,17.2
ED0-2,EL51,2020,17.3
ED3-4,EL51,2018,18.5
ED3-4,EL51,2019,16.7
ED3-4,EL51,2020,17.7
ED5-8,EL51,2018,14.7
ED5-8,EL51,2019,14.1
ED5-8,EL51,2020,16.3
TOTAL,EL51,2018,15.9
TOTAL,EL51,2019,16.2
TOTAL,EL51,2020,17.2
ED0-2,EL52,2018,24.3
ED0-2,EL52,2019,24.7
ED0-2,EL52,2020,21.8
ED3-4,EL52,2018,23.2
ED3-4,EL52,2019,21.7
ED3-4,EL52,2020,21.4
ED5-8,EL52,2018,15.1
ED5-8,EL52,2019,14.2
ED5-8,EL52,2020,12.9
TOTAL,EL52,2018,20.7
TOTAL,EL52,2019,19.6
TOTAL,EL52,2020,18.4
ED0-2,EL53,2018,24.8
ED0-2,EL53,2019,17.6
ED0-2,EL53,2020,16.0
ED3-4,EL53,2018,29.5
ED3-4,EL53,2019,27.3
ED3-4,EL53,2020,23.1
ED5-8,EL53,2018,25.4
ED5-8,EL53,2019,24.6
ED5-8,EL53,2020,16.4
TOTAL,EL53,2018,27.0
TOTAL,EL53,2019,24.5
TOTAL,EL53,2020,19.7
ED0-2,EL54,2018,22.6
ED0-2,EL54,2019,17.7
ED0-2,EL54,2020,16.9
ED3-4,EL54,2018,23.1
ED3-4,EL54,2019,19.6
ED3-4,EL54,2020,23.6
ED5-8,EL54,2018,15.5
ED5-8,EL54,2019,11.7
ED5-8,EL54,2020,10.8
TOTAL,EL54,2018,20.1
TOTAL,EL54,2019,16.4
TOTAL,EL54,2020,17.8
ED0-2,EL6,2018,18.3
ED0-2,EL6,2019,17.7
ED0-2,EL6,2020,16.4
ED3-4,EL6,2018,21.0
ED3-4,EL6,2019,20.1
ED3-4,EL6,2020,18.9
ED5-8,EL6,2018,16.1
ED5-8,EL6,2019,14.1
ED5-8,EL6,2020,15.3
TOTAL,EL6,2018,18.8
TOTAL,EL6,2019,17.8
TOTAL,EL6,2020,17.2
ED0-2,EL61,2018,17.7
ED0-2,EL61,2019,18.4
ED0-2,EL61,2020,17.2
ED3-4,EL61,2018,20.9
ED3-4,EL61,2019,21.4
ED3-4,EL61,2020,18.0
ED5-8,EL61,2018,15.5
ED5-8,EL61,2019,15.0
ED5-8,EL61,2020,14.9
TOTAL,EL61,2018,18.3
TOTAL,EL61,2019,18.5
TOTAL,EL61,2020,16.8
ED0-2,EL62,2018,16.0
ED0-2,EL62,2019,12.0
ED0-2,EL62,2020,18.1
ED3-4,EL62,2018,17.1
ED3-4,EL62,2019,14.5
ED3-4,EL62,2020,19.1
ED5-8,EL62,2018,13.5
ED5-8,EL62,2019,9.1
ED5-8,EL62,2020,8.1
TOTAL,EL62,2018,15.9
TOTAL,EL62,2019,12.3
TOTAL,EL62,2020,15.9
ED0-2,EL63,2018,23.4
ED0-2,EL63,2019,24.7
ED0-2,EL63,2020,19.8
ED3-4,EL63,2018,26.7
ED3-4,EL63,2019,26.9
ED3-4,EL63,2020,24.3
ED5-8,EL63,2018,20.5
ED5-8,EL63,2019,17.7
ED5-8,EL63,2020,19.1
TOTAL,EL63,2018,24.1
TOTAL,EL63,2019,24.1
TOTAL,EL63,2020,21.6
ED0-2,EL64,2018,17.9
ED0-2,EL64,2019,15.9
ED0-2,EL64,2020,16.4
ED3-4,EL64,2018,19.9
ED3-4,EL64,2019,19.1
ED3-4,EL64,2020,19.8
ED5-8,EL64,2018,18.4
ED5-8,EL64,2019,15.0
ED5-8,EL64,2020,20.8
TOTAL,EL64,2018,18.9
TOTAL,EL64,2019,17.2
TOTAL,EL64,2020,19.3
ED0-2,EL65,2018,12.7
ED0-2,EL65,2019,10.6
ED0-2,EL65,2020,10.8
ED3-4,EL65,2018,17.5
ED3-4,EL65,2019,14.1
ED3-4,EL65,2020,13.3
ED5-8,EL65,2018,11.2
ED5-8,EL65,2019,9.7
ED5-8,EL65,2020,8.3
TOTAL,EL65,2018,14.4
TOTAL,EL65,2019,12.0
TOTAL,EL65,2020,11.3
ED0-2,ES,2018,22.1
ED0-2,ES,2019,20.3
ED0-2,ES,2020,21.7
ED3-4,ES,2018,15.5
ED3-4,ES,2019,14.5
ED3-4,ES,2020,16.5
ED5-8,ES,2018,8.9
ED5-8,ES,2019,8.6
ED5-8,ES,2020,10.2
TOTAL,ES,2018,15.3
TOTAL,ES,2019,14.1
TOTAL,ES,2020,15.5
ED0-2,ES1,2018,18.1
ED0-2,ES1,2019,16.9
ED0-2,ES1,2020,16.0
ED3-4,ES1,2018,13.9
ED3-4,ES1,2019,13.4
ED3-4,ES1,2020,13.9
ED5-8,ES1,2018,8.6
ED5-8,ES1,2019,7.9
ED5-8,ES1,2020,9.5
TOTAL,ES1,2018,13.0
TOTAL,ES1,2019,12.1
TOTAL,ES1,2020,12.5
ED0-2,ES11,2018,18.2
ED0-2,ES11,2019,15.9
ED0-2,ES11,2020,14.8
ED3-4,ES11,2018,13.6
ED3-4,ES11,2019,13.0
ED3-4,ES11,2020,13.1
ED5-8,ES11,2018,8.9
ED5-8,ES11,2019,7.7
ED5-8,ES11,2020,9.4
TOTAL,ES11,2018,13.3
TOTAL,ES11,2019,11.8
TOTAL,ES11,2020,12.0
ED0-2,ES12,2018,19.7
ED0-2,ES12,2019,21.0
ED0-2,ES12,2020,19.2
ED3-4,ES12,2018,16.3
ED3-4,ES12,2019,16.8
ED3-4,ES12,2020,17.0
ED5-8,ES12,2018,8.8
ED5-8,ES12,2019,9.0
ED5-8,ES12,2020,10.0
TOTAL,ES12,2018,13.6
TOTAL,ES12,2019,14.2
TOTAL,ES12,2020,14.1
ED0-2,ES13,2018,15.0
ED0-2,ES13,2019,15.8
ED0-2,ES13,2020,17.7
ED3-4,ES13,2018,11.8
ED3-4,ES13,2019,10.4
ED3-4,ES13,2020,12.0
ED5-8,ES13,2018,7.2
ED5-8,ES13,2019,6.8
ED5-8,ES13,2020,8.8
TOTAL,ES13,2018,10.7
TOTAL,ES13,2019,10.3
TOTAL,ES13,2020,12.1
ED0-2,ES2,2018,16.5
ED0-2,ES2,2019,15.1
ED0-2,ES2,2020,16.7
ED3-4,ES2,2018,11.4
ED3-4,ES2,2019,10.3
ED3-4,ES2,2020,10.9
ED5-8,ES2,2018,6.0
ED5-8,ES2,2019,5.7
ED5-8,ES2,2020,7.0
TOTAL,ES2,2018,10.2
TOTAL,ES2,2019,9.3
TOTAL,ES2,2020,10.4
ED0-2,ES21,2018,16.9
ED0-2,ES21,2019,16.6
ED0-2,ES21,2020,16.7
ED3-4,ES21,2018,11.9
ED3-4,ES21,2019,10.9
ED3-4,ES21,2020,10.6
ED5-8,ES21,2018,6.1
ED5-8,ES21,2019,5.3
ED5-8,ES21,2020,6.6
TOTAL,ES21,2018,10.0
TOTAL,ES21,2019,9.2
TOTAL,ES21,2020,9.5
ED0-2,ES22,2018,17.5
ED0-2,ES22,2019,13.2
ED0-2,ES22,2020,16.4
ED3-4,ES22,2018,10.3
ED3-4,ES22,2019,8.7
ED3-4,ES22,2020,9.8
ED5-8,ES22,2018,5.7
ED5-8,ES22,2019,5.4
ED5-8,ES22,2020,7.1
TOTAL,ES22,2018,10.0
TOTAL,ES22,2019,8.2
TOTAL,ES22,2020,10.1
ED0-2,ES23,2018,13.9
ED0-2,ES23,2019,12.7
ED0-2,ES23,2020,14.2
ED3-4,ES23,2018,10.7
ED3-4,ES23,2019,10.9
ED3-4,ES23,2020,11.7
ED5-8,ES23,2018,7.0
ED5-8,ES23,2019,6.9
ED5-8,ES23,2020,7.3
TOTAL,ES23,2018,10.4
TOTAL,ES23,2019,10.0
TOTAL,ES23,2020,10.8
ED0-2,ES24,2018,16.2
ED0-2,ES24,2019,14.7
ED0-2,ES24,2020,17.4
ED3-4,ES24,2018,11.3
ED3-4,ES24,2019,10.2
ED3-4,ES24,2020,11.6
ED5-8,ES24,2018,5.6
ED5-8,ES24,2019,6.3
ED5-8,ES24,2020,7.8
TOTAL,ES24,2018,10.6
TOTAL,ES24,2019,10.0
TOTAL,ES24,2020,11.7
ED0-2,ES3,2018,19.0
ED0-2,ES3,2019,14.6
ED0-2,ES3,2020,17.9
ED3-4,ES3,2018,14.9
ED3-4,ES3,2019,12.9
ED3-4,ES3,2020,15.2
ED5-8,ES3,2018,7.3
ED5-8,ES3,2019,7.6
ED5-8,ES3,2020,8.8
TOTAL,ES3,2018,12.2
TOTAL,ES3,2019,10.6
TOTAL,ES3,2020,12.5
ED0-2,ES30,2018,19.0
ED0-2,ES30,2019,14.6
ED0-2,ES30,2020,17.9
ED3-4,ES30,2018,14.9
ED3-4,ES30,2019,12.9
ED3-4,ES30,2020,15.2
ED5-8,ES30,2018,7.3
ED5-8,ES30,2019,7.6
ED5-8,ES30,2020,8.8
TOTAL,ES30,2018,12.2
TOTAL,ES30,2019,10.6
TOTAL,ES30,2020,12.5
ED0-2,ES4,2018,22.4
ED0-2,ES4,2019,20.4
ED0-2,ES4,2020,21.5
ED3-4,ES4,2018,15.1
ED3-4,ES4,2019,14.7
ED3-4,ES4,2020,16.1
ED5-8,ES4,2018,10.4
ED5-8,ES4,2019,9.7
ED5-8,ES4,2020,10.1
TOTAL,ES4,2018,16.6
TOTAL,ES4,2019,15.3
TOTAL,ES4,2020,16.1
ED0-2,ES41,2018,17.0
ED0-2,ES41,2019,16.2
ED0-2,ES41,2020,17.0
ED3-4,ES41,2018,11.0
ED3-4,ES41,2019,10.8
